tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
126N04514,BISHOP ST,EASTBOUND,HI-92/ALA MOANA BLVD,HI,HONOLULU,96813,21.30697,-157.86374,21.30707,-157.8636,0.011354,1.0,Pacific/Honolulu,P1.11,USA,123,3,N,3,89770,2,,2,7505,10,10,,2569,121,25,3,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,1285,61,13
126-04655,KAPIOLANI BLVD,EASTBOUND,ATKINSON DR,HI,HONOLULU,96814,21.29474,-157.84625,21.29072,-157.83718,0.646502,4.0,Pacific/Honolulu,P1.11,USA,81,3,N,3,89770,2,,6,7503,6,1,,27551,3632,402,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,13776,1816,201
126-04654,KAPIOLANI BLVD,EASTBOUND,MCCULLY ST,HI,HONOLULU,96826,21.29055,-157.83566,21.28946,-157.83234,0.227704,7.0,Pacific/Honolulu,P1.11,USA,81,3,N,3,89770,2,1,6,7503,6,1,,23593,2215,207,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,11797,1108,104
126-04653,HI-99,SOUTHBOUND,FARRINGTON HWY (PEARL CITY),HI,HONOLULU,96782,21.396,-157.98318,21.39577,-157.97677,0.416403,25.0,Pacific/Honolulu,P1.11,USA,87,3,N,2,89770,2,1,4,99,4,9,,51100,1293,402,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,25550,647,201
126-04650,WARD AVE,SOUTHBOUND,KINAU ST,HI,HONOLULU,96814,21.30547,-157.84881,21.30478,-157.84908,0.050734,4.0,Pacific/Honolulu,P1.11,USA,82,3,N,3,89770,2,,4,7511,6,1,,23000,403,281,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,11500,202,141
126P04196,HI-83,WESTBOUND,JOSEPH P LEONG HWY,HI,HONOLULU,96712,21.60236,-158.09985,21.60183,-158.10029,0.048745,17.0,Pacific/Honolulu,P1.11,USA,72,4,N,3,99998,2,,2,83,4,9,,15100,238,51,1,71,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,7550,119,26
126+04180,HI-63,NORTHBOUND,NALANIEHA ST,HI,HONOLULU,96819,21.34696,-157.86629,21.34995,-157.86198,0.346537,8.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,,5,63,4,9,,32573,2066,649,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,16287,1033,325
126+04182,HI-63,NORTHBOUND,I-H3,HI,HONOLULU,96819,21.35814,-157.85734,21.39257,-157.81496,4.413222,11.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,2,4,63,4,9,,30170,1582,584,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,15085,791,292
126+04181,HI-63,NORTHBOUND,VALLEY VIEW DR,HI,HONOLULU,96819,21.35037,-157.86158,21.35814,-157.85734,0.605317,10.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,89770,2,,4,63,4,9,,29704,1540,586,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,14852,770,293
126+04184,HI-63,NORTHBOUND,HI-830/KAMEHAMEHA HWY,HI,HONOLULU,96744,21.40299,-157.80698,21.40303,-157.80039,0.438034,14.0,Pacific/Honolulu,P1.11,USA,71,2,N,3,43669,2,1,4,83,4,9,,27331,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,13666,2037,187
126-04675,HI-93,SOUTHBOUND,KEAAU HOMESTEADS RD,HI,HONOLULU,96792,21.52835,-158.22761,21.50001,-158.22957,1.97035,2.0,Pacific/Honolulu,P1.11,USA,91,5,N,3,89770,2,1,2,93,4,9,,2100,31,9,1,38,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,1050,16,5
126+04183,HI-63,NORTHBOUND,HI-83/KAHEKILI HWY,HI,HONOLULU,96744,21.39257,-157.81496,21.39705,-157.81023,0.466102,12.0,Pacific/Honolulu,P1.11,USA,71,2,N,2,43669,2,,5,63,4,9,,48578,3250,504,1,99,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,24289,1625,252
126+04186,HI-83,WESTBOUND,I-H3,HI,HONOLULU,96744,21.37565,-157.7814,21.38338,-157.78912,0.729429,2.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,1,4,83,4,9,,39800,4073,374,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,19900,2037,187
126P04198,HI-61,NORTHBOUND,HI-98/S VINEYARD BLVD,HI,HONOLULU,96813,21.31273,-157.85647,21.31281,-157.85638,0.008006,1.0,Pacific/Honolulu,P1.11,USA,73,3,N,3,89770,2,,6,7505,6,1,,12730,2989,241,1,94,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,3,6365,1495,121
126-04439,HI-95,SOUTHBOUND,KAPOLEI PKWY,HI,HONOLULU,96707,21.3313,-158.0896,21.32848,-158.09005,0.196993,3.0,Pacific/Honolulu,P1.11,USA,108,3,N,7,89770,2,,2,95,4,9,,34200,4203,883,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,1,17100,2102,442
126+04188,HI-83,WESTBOUND,HI-830/KANEOHE BAY DR,HI,HONOLULU,96744,21.3936,-157.79694,21.40238,-157.79963,0.633214,5.0,Pacific/Honolulu,P1.11,USA,72,2,N,3,43669,2,,5,83,4,9,,23382,1611,525,1,100,,,,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2.5,11691,806,263
126P04199,HI-61,NORTHBOUND,I-H1/LUNALILO FWY,HI,HONOLULU,96813,21.31427,-157.8548,21.31644,-157.85272,0.201186,3.0,Pacific/Honolulu,P1.11,USA,73,2,N,2,89770,2,1,4,61,4,9,,23536,775,410,1,100,,,1,1,2023-01-01 00:00:00-05:00,2024-01-01 00:00:00-05:00,2,11768,388,205
